Field=#~Integer~#~50|Field=Comment~String~Comment~101|Field=Datasheet Link~String~Datasheet Link~101|Field=Description~String~Description~101|Field=Designator~String~Designator~101|Field=Manufacturer_Part_Number~String~Manufacturer_Part_Number~101|Field=Quantity~Integer~Quantity~101|Field=Value~String~Value~101|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Bhishma.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\Projects\Bhishma\Bhishma.PrjPcb|ReportField=Title~Bill of Materials For Project [Bhishma.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~183|ReportField=ReportTime~6:19:45 AM|ReportField=ReportDate~10/20/2019|ReportField=ReportDateTime~10/20/2019 6:19:45 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Boulder|ReportField=Address2~Bhishma|ReportField=Address3~Low Power Embedded|ReportField=Address4~Design Techniques|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~10/20/2019|ReportField=CurrentTime~6:03:12 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\Projects\Bhishma\Block Diagram.SchDoc|ReportField=DocumentName~Block Diagram.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~10/20/2019|ReportField=Organization~University of Colorado|ReportField=ProjectName~Bhishma.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~9|ReportField=Time~|ReportField=Title~Block Diagram|ReportField=DataSourceFileName~Bhishma.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\Projects\Bhishma\Bhishma.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
41|IRM-03-5S|http://www.meanwell.com/Upload/PDF/IRM-03/IRM-03-SPEC.PDF|Undefined or Miscellaneous|PS2|IRM-03-5S|1|
42|279-CPF0603B1M0E1|http://www.farnell.com/datasheets/1786775.pdf|Resistor|R1|CPF0603B1M0E1|1|1M
43|594-MCT06030C3300FP5|http://www.vishay.com/docs/28705/mcx0x0xpro.pdf|Resistor|R3, R4|MCT06030C3300FP500|2|330
44|667-ERA-3APB471V|https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf|Resistor|R5, R11, R213|ERA-3APB471V|3|470, 470, 470R
45|594-MCT0603PD4999DP5|http://www.vishay.com/docs/28705/mcx0x0xpro.pdf|Resistor|R6, R7, R14, R15|MCT0603PD4999DP500|4|49.9
46|667-ERA-3AED301V|https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf|Resistor|R8|ERA-3AED301V|1|300(1%)
47|667-ERA-3AEB123V|https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf|Resistor|R9|ERA-3AEB123V|1|12K(1%)
48|71-CRCW12060000Z0EAC|http://componentsearchengine.com/Datasheets/1/CRCW12060000Z0EAC.pdf|Resistor|R17, R102, R104, R202, R402, R404|CRCW12060000Z0EAC|6|0R
49|594-MCT06030D2201BP1|http://www.vishay.com/docs/28705/mcx0x0xpro.pdf|Resistor|R21, R26, R31, R34|MCT06030D2201BP100|4|2.2K
50|667-ERA-3ARB112V|https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf|Resistor|R22, R32|ERA-3ARB112V|2|1.1K
51|594-MCT0603MD1001BP5|http://www.vishay.com/docs/28705/mcx0x0xpro.pdf|Resistor|R23, R33|MCT0603MD1001BP500|2|1K
52|71-TNPW12061M35BEEN|https://www.mouser.com/datasheet/2/427/tnpw_e3-470510.pdf|Resistor|R24, R35|TNPW12061M35BEEN|2|1354K
53|667-ERA-3AEB3013V|https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf|Resistor|R25, R36|ERA-3AEB3013V|2|301K
